	Area	Area	Area	Area	Area	Area
Name	9-octadecen-1-ol	9-octadecenal	n-octane	oleic acid	put. 8-heptadecen1-ol	put. 8-heptadecenal
00 pET ctrl - t8	75979	211193	6960719	39942837	292474	16418
00 pMis ctrl - t8	18945	92096	6888633	13289281	23044	17669
00 pET aDox 1 - t8	63292	2279350	7196848	37027077	184624	11254
00 pET aDox 2 - t8	87734	2299947	7182978	46048531	313550	50399
00 pMis Car 1 - t8	316903	170008	7161553	19785802	56933	347459
00 pMis Car 2 - t8	588385	350490	7026506	15117278	11781	400024
02 pET ctrl - t8	7284	296629	6736790	561278	970858	117206
02 pMis ctrl - t8	16187	40188	7455293	553364	296671	12603
02 pET aDox 1 - t8	232490	163223	6836351	94322752	1317769	48001
02 pET aDox 2 - t8	4862	191577	7084771	69512317	932908	28082
02 pMis Car 1 - t8	1090129	384547	7073095	71856424	59372	541192
02 pMis Car 2 - t8	1180713	344813	6963339	291177	56131	14613
