	Conc.	Conc.	Conc.	Conc.	Conc.	Conc.
Name	9-octadecen-1-ol	9-octadecenal	n-octane	oleic acid	put. 8-heptadecen1-ol	put. 8-heptadecenal
00 pET ctrl - t8	5,91604	4,22006	100,0	894,9472699999999	560,85088	7,94148
00 pMis ctrl - t8	1,4905700000000002	1,85952	100,0	300,87152000000003	44,65181	8,63603
00 pET aDox 1 - t8	4,7664800000000005	44,05158	100,0	802,39782	342,42073999999997	5,26502
00 pET aDox 2 - t8	6,619960000000001	44,535470000000004	100,0	999,82475	582,66175	23,62397
00 pMis Car 1 - t8	23,98341	3,3018300000000003	100,0	430,88273	106,11361000000001	163,35475
00 pMis Car 2 - t8	45,38516	6,93792	100,0	335,54195	22,379839999999998	191,68232
02 pET ctrl - t8	0,58601	6,12426	100,0	12,993839999999999	1923,60964	58,577690000000004
02 pMis ctrl - t8	1,17677	0,74976	100,0	11,57601	531,15909	5,691730000000001
02 pET aDox 1 - t8	18,43197	3,32085	100,0	2151,8141100000003	2572,93714	23,64076
02 pET aDox 2 - t8	0,37195	3,76106	100,0	1530,20137	1757,62913	13,34559
02 pMis Car 1 - t8	83,5334	7,56193	100,0	1584,41428	112,04343999999999	257,61865
02 pMis Car 2 - t8	91,90064	6,887460000000001	100,0	6,52157	107,59683000000001	7,06573
