	n-octane	put. 8-heptadecenal	put. 8-heptadecen1-ol	9-octadecenal	9-octadecen-1-ol	oleic acid
00 pET ctrl - t8	100.0	7.94148	560.85088	4.22006	5.91604	894.9472699999999
00 pMis ctrl - t8	100.0		44.65181	1.85952	1.4905700000000002	300.87152000000003
00 pET aDox 1 - t8	100.0	5.26502		44.05158	4.7664800000000005	802.39782
00 pET aDox 2 - t8	100.0	23.62397	582.66175		6.619960000000001	999.82475
00 pMis Car 1 - t8	100.0	163.35475	106.11361000000001	3.3018300000000003		430.88273
00 pMis Car 2 - t8	100.0	191.68232	22.379839999999998	6.93792	45.38516	
02 pET ctrl - t8	100.0	58.577690000000004	1923.60964	6.12426	0.58601	12.993839999999999
02 pMis ctrl - t8	100.0	5.691730000000001	531.15909	0.74976	1.17677	11.57601
02 pET aDox 1 - t8	100.0	23.64076	2572.93714	3.32085	18.43197	2151.8141100000003
02 pET aDox 2 - t8	100.0	13.34559	1757.62913	3.76106	0.37195	1530.20137
02 pMis Car 1 - t8	100.0	257.61865	112.04343999999999	7.56193	83.5334	1584.41428
02 pMis Car 2 - t8	100.0	7.06573	107.59683000000001	6.887460000000001	91.90064	6.52157
